depth	min	max	median	mean
291.5	9122	9872	9509	9506
292.5	9139	9879	9522	9519
293.5	9156	9886	9535	9531
294.5	9171	9893	9548	9544
295.5	9186	9900	9561	9556
296.5	9199	9908	9574	9569
297.5	9212	9917	9587	9581
298.5	9225	9926	9600	9594
299.5	9237	9936	9613	9606
300.5	9248	9946	9626	9619
301.5	9258	9958	9639	9631
302.5	9268	9970	9652	9644
303.5	9278	9984	9665	9657
304.5	9287	9998	9678	9669
305.5	9296	10013	9691	9682
306.5	9312	10024	9702	9693
307.5	9334	10028	9711	9703
308.5	9356	10033	9720	9713
309.5	9378	10037	9729	9723
310.5	9399	10042	9738	9734
311.5	9418	10047	9747	9744
312.5	9437	10052	9757	9754
313.5	9455	10058	9767	9764
314.5	9472	10064	9776	9774
315.5	9488	10070	9786	9784
316.5	9503	10076	9796	9794
317.5	9517	10083	9806	9804
318.5	9530	10091	9816	9815
319.5	9542	10099	9826	9825
320.5	9552	10108	9837	9835
321.5	9562	10117	9847	9845
322.5	9570	10128	9857	9855
323.5	9577	10140	9868	9865
324.5	9585	10152	9878	9875
325.5	9591	10166	9888	9886
326.5	9598	10180	9898	9896
327.5	9604	10196	9908	9906
328.5	9610	10213	9917	9916
329.5	9616	10230	9927	9926
330.5	9621	10249	9936	9936
331.5	9626	10269	9946	9946
332.5	9631	10290	9955	9957
333.5	9636	10312	9964	9967
334.5	9641	10334	9973	9977
335.5	9645	10357	9982	9987
336.5	9652	10371	9990	9996
337.5	9662	10377	9998	10004
338.5	9672	10382	10006	10012
339.5	9681	10388	10014	10019
340.5	9689	10394	10022	10027
341.5	9697	10400	10030	10035
342.5	9705	10406	10039	10043
343.5	9712	10412	10047	10051
344.5	9719	10419	10055	10058
345.5	9725	10426	10063	10066
346.5	9732	10433	10071	10074
347.5	9737	10441	10080	10082
348.5	9743	10449	10088	10090
349.5	9748	10457	10096	10098
350.5	9754	10466	10104	10105
351.5	9759	10475	10112	10113
352.5	9764	10484	10120	10121
353.5	9768	10494	10128	10129
354.5	9773	10505	10136	10137
355.5	9777	10516	10144	10144
356.5	9781	10527	10151	10152
357.5	9785	10539	10159	10160
358.5	9789	10552	10167	10168
359.5	9794	10565	10174	10176
360.5	9797	10578	10182	10184
361.5	9801	10592	10189	10191
362.5	9805	10606	10197	10199
363.5	9808	10620	10204	10207
364.5	9812	10635	10211	10215
365.5	9815	10651	10218	10223
366.5	9823	10660	10226	10230
367.5	9834	10664	10234	10238
368.5	9845	10668	10242	10246
369.5	9856	10673	10250	10254
370.5	9866	10677	10258	10262
371.5	9875	10681	10266	10270
372.5	9884	10686	10274	10277
373.5	9893	10691	10282	10285
374.5	9901	10695	10291	10293
375.5	9909	10700	10299	10301
376.5	9916	10706	10307	10309
377.5	9923	10711	10316	10316
378.5	9930	10716	10324	10324
379.5	9937	10722	10333	10332
380.5	9943	10728	10341	10340
381.5	9949	10734	10350	10348
382.5	9954	10740	10358	10355
383.5	9960	10747	10367	10363
384.5	9965	10754	10375	10371
385.5	9971	10762	10383	10379
386.5	9976	10769	10392	10387
387.5	9981	10778	10400	10394
388.5	9986	10786	10408	10402
389.5	9990	10795	10416	10410
390.5	9995	10805	10424	10418
391.5	9999	10815	10432	10426
392.5	10004	10826	10440	10434
393.5	10008	10837	10448	10441
394.5	10012	10848	10456	10449
