"age","sat","sat_sd","sat_upr","sat_lwr","cell_lon","cell_lat","dist_km"
5900,9.28085899353027,1.02832067012787,11.337500333786,7.22421765327454,357.5,59.684211730957,94.8507566371056
6100,9.39275550842285,1.03767395019531,11.4681034088135,7.31740760803223,357.5,59.684211730957,94.8507566371056
6300,9.55554485321045,1.065558552742,11.6866619586945,7.42442774772644,357.5,59.684211730957,94.8507566371056
6500,9.76747989654541,0.997297942638397,11.7620757818222,7.77288401126862,357.5,59.684211730957,94.8507566371056
6700,9.6411190032959,0.936540007591248,11.5141990184784,7.7680389881134,357.5,59.684211730957,94.8507566371056
6900,9.19185161590576,1.08223736286163,11.356326341629,7.0273768901825,357.5,59.684211730957,94.8507566371056
7100,9.28290176391602,1.11129868030548,11.505499124527,7.06030440330505,357.5,59.684211730957,94.8507566371056
7300,8.68839263916016,1.29505324363708,11.2784991264343,6.09828615188599,357.5,59.684211730957,94.8507566371056
7500,9.0365629196167,1.09879660606384,11.2341561317444,6.83896970748901,357.5,59.684211730957,94.8507566371056
7700,8.98662376403809,1.21586167812347,11.418347120285,6.55490040779114,357.5,59.684211730957,94.8507566371056
7900,9.193678855896,1.16349232196808,11.5206634998322,6.86669421195984,357.5,59.684211730957,94.8507566371056
8100,9.14178657531738,1.24269831180573,11.6271831989288,6.65638995170593,357.5,59.684211730957,94.8507566371056
8300,9.13467597961426,1.28658604621887,11.707848072052,6.56150388717651,357.5,59.684211730957,94.8507566371056
8500,9.21728134155273,1.36043012142181,11.9381415843964,6.49642109870911,357.5,59.684211730957,94.8507566371056
8700,8.85525608062744,1.29229044914246,11.4398369789124,6.27067518234253,357.5,59.684211730957,94.8507566371056
8900,8.61011219024658,1.38509333133698,11.3802988529205,5.83992552757263,357.5,59.684211730957,94.8507566371056
9100,8.91981029510498,1.3479710817337,11.6157524585724,6.22386813163757,357.5,59.684211730957,94.8507566371056
9300,8.22426223754883,1.32500064373016,10.8742635250092,5.5742609500885,357.5,59.684211730957,94.8507566371056
9500,7.30201721191406,1.26948511600494,9.84098744392395,4.76304697990417,357.5,59.684211730957,94.8507566371056
9700,7.11204624176025,1.43844759464264,9.98894143104553,4.23515105247498,357.5,59.684211730957,94.8507566371056
9900,6.89352560043335,1.51116943359375,9.91586446762085,3.87118673324585,357.5,59.684211730957,94.8507566371056
10100,6.52987337112427,1.55098390579224,9.63184118270874,3.4279055595398,357.5,59.684211730957,94.8507566371056
10300,6.27772665023804,1.65205264091492,9.58183193206787,2.9736213684082,357.5,59.684211730957,94.8507566371056
10500,5.68085861206055,1.72689652442932,9.13465166091919,2.2270655632019,357.5,59.684211730957,94.8507566371056
10700,5.21944093704224,1.65618765354156,8.53181624412537,1.90706562995911,357.5,59.684211730957,94.8507566371056
10900,4.33451175689697,1.61285328865051,7.560218334198,1.10880517959595,357.5,59.684211730957,94.8507566371056
11100,3.7815146446228,1.72357153892517,7.22865772247314,0.334371566772461,357.5,59.684211730957,94.8507566371056
11300,3.47029948234558,1.78617131710052,7.04264211654663,-0.102043151855469,357.5,59.684211730957,94.8507566371056
11500,2.36304497718811,1.83716332912445,6.03737163543701,-1.31128168106079,357.5,59.684211730957,94.8507566371056
11700,1.0829097032547,1.87605285644531,4.83501541614532,-2.66919600963593,357.5,59.684211730957,94.8507566371056
11900,-0.446615487337112,1.77327728271484,3.09993907809258,-3.9931700527668,357.5,59.684211730957,94.8507566371056
12100,-1.28266131877899,1.79021203517914,2.29776275157928,-4.86308538913727,357.5,59.684211730957,94.8507566371056
12300,-2.12434649467468,1.78313362598419,1.4419207572937,-5.69061374664307,357.5,59.684211730957,94.8507566371056
12500,-2.7544949054718,1.7006219625473,0.646749019622803,-6.15573883056641,357.5,59.684211730957,94.8507566371056
12700,-3.17203879356384,1.61903917789459,0.0660395622253418,-6.41011714935303,357.5,59.684211730957,94.8507566371056
12900,-2.58698296546936,1.57762706279755,0.568271160125732,-5.74223709106445,357.5,59.684211730957,94.8507566371056
13100,-1.64413070678711,1.49688136577606,1.34963202476501,-4.63789343833923,357.5,59.684211730957,94.8507566371056
13300,-1.53755223751068,1.45335710048676,1.36916196346283,-4.44426643848419,357.5,59.684211730957,94.8507566371056
13500,-2.14004230499268,1.5723295211792,1.00461673736572,-5.28470134735107,357.5,59.684211730957,94.8507566371056
13700,-2.77353525161743,1.48964738845825,0.205759525299072,-5.75283002853394,357.5,59.684211730957,94.8507566371056
13900,-3.36471915245056,1.60156071186066,-0.161597728729248,-6.56784057617188,357.5,59.684211730957,94.8507566371056
14100,-3.96878027915955,1.69537687301636,-0.578026533126831,-7.35953402519226,357.5,59.684211730957,94.8507566371056
14300,-4.48026990890503,1.78419709205627,-0.91187572479248,-8.04866409301758,357.5,59.684211730957,94.8507566371056
