"","tax_name","ExrNTC_S49","LibNTC_S51","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"483","Pterostichus",0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484","Pungitius",0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485","Pygocentrus",0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486","Pygoscelis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
"487","Rana",0,0,55,0,69,0,66,0,0,0,53,77,0,0,0,0,52,0,0,61,0,62,61,0,0,79,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0
"488","Rangifer",0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489","Rattus",0,0,128,69,122,80,94,51,61,65,111,137,0,72,256,0,94,65,76,86,89,157,95,79,0,127,206,0,0,0,73,58,69,81,67,82,71,77,0,0,0,54,157,0,87,0
"490","Rhagoletis",0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,79,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491","Rhinatrema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"492","Rhinolophus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"493","Rhipicephalus",0,0,104,0,169,0,0,0,0,0,55,75,251,0,141,357,0,0,66,0,56,89,81,78,0,88,161,0,212,394,73,61,0,0,0,78,0,0,0,0,0,0,89,0,50,0
"494","Ricordea",0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495","Rissa",0,0,0,0,333,0,0,110,199,101,533,625,0,1550,181,0,0,0,0,0,380,70,198,333,0,193,149,0,0,0,0,0,128,128,77,205,140,66,0,0,608,0,61,582,0,0
"496","Ruditapes",0,0,0,0,70,0,0,0,0,0,54,87,190,0,142,200,0,0,0,0,0,162,66,0,0,103,199,0,210,158,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0
"497","Rutilus",0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"498","Sabethes",0,0,0,0,0,0,0,0,0,0,0,0,71,0,55,121,0,0,0,0,0,0,0,0,0,0,0,0,60,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499","Saccoglossus",0,0,0,0,0,0,53,0,0,0,52,123,192,0,70,51,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
