"","tax_name","ExrNTC_S49","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"30","Asplenium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,61,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Astragalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Athyrium",NA,NA,NA,NA,NA,NA,220,NA,127,65,6891,78,121,NA,NA,NA,NA,NA,NA,NA,976,NA,195,NA,88,58,178,NA,NA,NA,NA,NA,146,NA,NA,186,NA,NA,NA,71,NA,136,141,NA,NA
"33","Atriplex",NA,NA,NA,NA,NA,NA,NA,64,NA,349,216,158,NA,NA,NA,NA,NA,NA,NA,263,240,NA,NA,NA,NA,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,126,NA,NA,NA
"34","Auxenochlorella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Avenella",NA,NA,NA,NA,NA,NA,NA,NA,NA,201,590,101,NA,164,NA,NA,NA,NA,NA,NA,1159,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Avenula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Bathycoccus",NA,583,291,792,490,1612,1078,1720,1912,3972,5525,12040,5997,20271,36737,8774,253,509,628,1539,3854,5812,2261,1192,17359,37048,3453,37729,19075,179,260,740,1459,1028,1181,1793,1026,508,1073,3486,8802,40769,17196,4604,203
"38","Beta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Betula",NA,NA,NA,125,NA,449,577,4126,1066,2028,4136,3918,73,146,NA,NA,NA,NA,244,507,10203,129,116,659,82,348,NA,NA,64,84,56,NA,69,108,262,1946,1001,771,1428,1576,65,824,96,NA,NA
