"","tax_name","ExrNTC_S49","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"176","Phalaenopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Phalaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,242,88,923,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,67,59,NA,219,74,NA,NA,NA,NA,NA
"178","Phegopteris",NA,NA,NA,NA,NA,NA,120,NA,76,NA,3533,52,65,NA,NA,NA,NA,NA,NA,NA,548,801,97,NA,108,NA,73,NA,NA,NA,NA,NA,76,NA,NA,89,NA,NA,NA,54,NA,62,85,NA,NA
"179","Phragmites",NA,NA,NA,189,NA,396,4835,6171,58122,4083,6073,5046,5671,2261,NA,NA,NA,58,52,258,214,875,118,251,1477,549,NA,56,112,NA,NA,54,NA,126,764,1074,1996,681,1948,2194,97,91,493,NA,70
"180","Phyllodoce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Picochlorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Pinguicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Pinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Pisum",NA,NA,NA,NA,73,58,NA,61,64,78,444,190,69,130,694,NA,NA,NA,NA,NA,296,61,NA,NA,80,90,NA,169,NA,NA,NA,NA,NA,NA,54,NA,NA,61,50,101,NA,60,NA,NA,NA
"185","Plantago",NA,111,144,329,392,438,280,674,1021,505,1511,2983,850,8934,NA,NA,NA,84,192,176,6717,828,203,158,835,1057,87,376,1461,NA,NA,NA,NA,NA,NA,264,138,55,94,121,NA,207,NA,NA,NA
"186","Platanthera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Poa",NA,NA,NA,NA,NA,NA,52,NA,NA,73,324,252,NA,149,NA,NA,NA,NA,NA,NA,769,NA,NA,NA,NA,107,NA,68,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,348,NA
"188","Polygonum",NA,NA,NA,190,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Polypodium",NA,NA,NA,NA,NA,81,NA,176,272,1187,8648,14386,11941,1419,NA,NA,NA,NA,NA,NA,34616,1728,NA,NA,117117,5487,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727,101,209,52,NA,NA
"190","Polystichum",NA,NA,NA,NA,NA,NA,NA,NA,58,55,397,197,71,131,NA,NA,NA,NA,NA,NA,303,NA,NA,NA,495,99,NA,144,60,NA,NA,NA,NA,NA,59,86,NA,NA,NA,286,59,59,411,NA,NA
"191","Polytrichum",NA,NA,NA,NA,NA,425,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,124,NA,NA
"192","Populus",NA,NA,NA,NA,NA,NA,NA,54,69,116,253,338,NA,224,2831,101,NA,NA,NA,NA,444,136,54,NA,135,164,NA,186,86,NA,NA,NA,NA,NA,86,141,215,51,142,1191,177,330,1317,NA,NA
"193","Potamogeton",NA,NA,NA,88,73,76,NA,NA,NA,175,1189,121,71,139,NA,NA,NA,NA,56,NA,4915,54,NA,NA,68,57,NA,130,215,64,NA,96,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
"194","Potentilla",NA,345,402,327,499,2765,873,1967,725,1534,3304,1097,2997,803,728,51,NA,215,243,257,5018,2091,102,171,2381,3622,84,739,1698,89,113,184,730,319,434,469,3811,132,252,125,115,145,NA,NA,NA
"195","Primula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Prunus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,59,NA,NA,NA,NA,72,NA,NA,79,102,NA,NA,NA,NA,NA,NA,NA
"197","Pteridium",NA,NA,NA,NA,NA,NA,NA,90,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Puccinellia",NA,NA,NA,NA,52,NA,NA,120,NA,180,193,922,163,105,NA,NA,NA,NA,NA,NA,385,NA,NA,NA,NA,NA,NA,64,96,NA,NA,NA,222,62,NA,NA,85,NA,NA,61,NA,NA,NA,NA,NA
"199","Pulicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Pycnococcus",NA,8925,7557,12334,5621,18442,9278,11027,7229,15776,10162,22322,7892,61530,35916,2794,2732,3467,3218,7825,8315,14211,11819,4196,25919,81724,3909,70644,20441,3587,2809,7739,14879,9899,12949,13719,10581,6207,5886,14631,9247,30500,7987,799,NA
"201","Pyrola",NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Pyrus",NA,NA,NA,NA,NA,NA,NA,584,NA,133,172,64,NA,NA,NA,NA,NA,NA,NA,NA,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Quercus",NA,NA,NA,78,87,67,NA,60,73,90,269,272,NA,186,9896,69,NA,64,57,NA,111,96,76,NA,111,141,NA,293,281,NA,NA,NA,NA,NA,59,54,64,NA,NA,NA,72,116,NA,NA,NA
"204","Ranunculus",NA,98,70,52,NA,NA,76,194,50,227,442,243,62,205,NA,NA,NA,53,NA,300,1385,NA,NA,NA,NA,279,NA,88,208,114,135,NA,76,NA,NA,66,93,134,61,258,55,136,NA,NA,NA
"205","Rhinanthus",NA,NA,NA,NA,NA,NA,NA,NA,63,94,603,78,64,156,NA,NA,NA,51,NA,NA,772,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Rhodiola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,1333,NA,NA,NA,NA,82,NA,70,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Rhododendron",NA,54,59,73,128,220,153,92,76,728,2955,262,78,294,NA,NA,NA,NA,NA,50,2768,104,NA,NA,71,216,NA,84,124,NA,NA,NA,NA,55,NA,NA,211,NA,NA,NA,NA,NA,NA,NA,NA
"208","Rhytidiadelphus",NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Ribes",NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,70,75,2352,NA,165,NA,NA,NA
"210","Rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,94,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,76,89,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,121,NA,NA,NA,NA,NA
"211","Rubus",NA,NA,NA,NA,NA,NA,NA,NA,NA,169,814,309,402,63,NA,NA,NA,NA,NA,NA,1811,NA,NA,NA,310,84,NA,51,53,NA,NA,NA,NA,NA,NA,NA,385,NA,116,155,NA,NA,NA,NA,NA
"212","Rumex",NA,93,NA,82,NA,140,NA,82,217,267,1063,792,287,864,NA,NA,NA,NA,NA,119,1326,272,245,NA,258,686,73,888,930,NA,55,NA,156,302,142,401,1910,152,161,156,92,463,NA,NA,NA
"213","Sagina",NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Salicornia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Salix",NA,66,64,87,241,225,378,2278,2973,8047,15826,16017,1470,2101,NA,19036,59,108,197,562,32455,3106,1653,313,1649,2842,501,960,2453,56,NA,75,158,322,754,1528,2152,496,1320,2754,507,1757,719,1081,1003
"216","Salvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Sanguisorba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Saxifraga",NA,NA,NA,NA,NA,NA,NA,NA,NA,180,54,73,NA,2668,NA,55,NA,NA,NA,NA,6304,NA,NA,NA,53,102,NA,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,487,NA,52,NA,NA,670
"219","Schoenus",NA,NA,NA,NA,NA,NA,NA,NA,NA,149,292,57,53,NA,NA,NA,NA,NA,82,NA,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,224,NA,NA,NA,NA,NA
"220","Scorzoneroides",NA,NA,NA,NA,144,NA,84,NA,NA,53,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Silene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,122,174,1890,NA,NA,NA,NA,NA,NA,294,61,NA,NA,50,140,79,118,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Solanum",NA,64,NA,66,NA,NA,NA,77,NA,68,86,190,50,160,283,NA,NA,NA,NA,59,123,89,107,NA,90,161,NA,340,293,82,NA,77,NA,NA,NA,76,67,1545,111,NA,78,99,NA,NA,NA
"223","Sonchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,57,NA,NA,NA,NA,78,NA,NA,NA
"224","Sorbus",NA,NA,NA,NA,NA,NA,NA,2246,51,426,566,61,NA,NA,NA,NA,NA,NA,NA,NA,1746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,180,NA,70,NA,NA,NA,NA,NA,NA
"225","Spergula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Spinacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,79,NA,82,NA,NA,NA,NA,NA,NA,94,NA,87,NA,71,NA,NA,77,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,NA,NA
"227","Stellaria",NA,164,NA,108,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Struthiopteris",NA,NA,NA,NA,NA,NA,238,NA,1939,145,1054,128,88,77,NA,NA,NA,122,NA,NA,213,NA,NA,315,182,579,NA,121,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,65,1586,226,NA,NA
"229","Stuckenia",NA,58,NA,NA,NA,NA,NA,NA,NA,NA,72,71,NA,132,54,NA,NA,NA,NA,55,677,NA,NA,NA,50,71,NA,360,142,NA,NA,NA,111,NA,NA,NA,NA,NA,69,NA,NA,50,NA,110,NA
"230","Suaeda",NA,87,278,735,206,443,87,104,NA,56,94,92,804,NA,NA,52,94,171,163,98,78,662,68,NA,57,106,NA,NA,591,72,NA,73,99,211,338,355,173,NA,76,91,308,65,247,263,NA
"231","Succisa",NA,NA,NA,54,NA,134,NA,73,223,310,1110,88,NA,NA,NA,NA,NA,NA,NA,NA,2237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,57,104,NA,NA,138,NA,NA,NA,NA,NA
"232","Tetradesmus",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Thalictrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Thelypteris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Thymus",NA,NA,NA,1141,NA,129,209,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Tofieldia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Trifolium",NA,81,118,114,156,191,93,90,NA,NA,80,133,NA,NA,59,NA,NA,NA,NA,NA,69,NA,NA,NA,71,NA,NA,107,134,61,NA,NA,87,NA,126,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
"238","Triglochin",NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Tripleurospermum",NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,372,NA,70,NA,NA,NA,NA,NA,NA,613,NA,NA,NA,NA,194,NA,NA,79,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,54,NA,NA,NA
"240","Triticum",NA,107,105,109,82,96,64,76,80,99,175,494,166,300,84,81,NA,97,NA,122,192,197,178,NA,145,250,NA,622,309,109,64,67,83,96,106,61,69,NA,76,71,58,136,NA,59,NA
"241","Tussilago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,63,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Ulmus",NA,NA,NA,NA,52,NA,NA,NA,108,131,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Urtica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Utricularia",NA,85,NA,NA,NA,89,NA,NA,NA,70,123,218,58,125,NA,NA,NA,NA,NA,NA,561,52,NA,NA,129,159,NA,93,311,NA,NA,NA,50,70,105,NA,NA,NA,NA,NA,55,NA,121,NA,NA
"245","Vaccinium",NA,NA,NA,NA,NA,50,NA,NA,144,219,235,118,NA,NA,NA,NA,NA,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Valeriana",NA,NA,NA,NA,NA,NA,NA,NA,NA,89,807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,NA,NA,NA,NA,NA
"247","Veronica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Vicia",NA,NA,NA,NA,54,NA,NA,560,393,294,730,775,294,1637,161,NA,NA,NA,NA,NA,478,NA,NA,NA,510,242,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA
"249","Vigna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,107,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Viola",NA,NA,NA,NA,NA,NA,NA,70,NA,156,755,303,109,333,NA,NA,NA,NA,NA,70,1300,158,NA,NA,125,237,NA,86,119,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,136,225,272,NA,NA,NA
"251","Vitis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Volvox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Wolffia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,50,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Woodsia",NA,NA,NA,NA,NA,NA,51,NA,NA,NA,1841,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,55,NA,124,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,91,NA,NA
"255","Zannichellia",NA,135,51,67,58,63,NA,NA,NA,NA,55,181,77,81,NA,NA,126,72,89,NA,175,NA,NA,NA,59,91,NA,69,170,93,83,65,144,84,87,NA,NA,NA,NA,NA,NA,75,NA,NA,NA
"256","Zostera",NA,NA,NA,NA,NA,NA,NA,54,511,1016,3668,4232,NA,57,NA,111,NA,NA,NA,169,6644,NA,NA,NA,NA,74,NA,NA,NA,95,166,863,1562,1595,3368,7360,4715,2123,4068,6620,897,3204,1657,110,NA
